Time,average,sem,ul original,media
46358.7,1.386333333,0.037351186,0.006830135,TSB
46358.7,0.576,0.009504385,0.006830135,LB
48141.8,0.096,0.007505553,0,TSB
48141.8,0.063333333,0.002185813,0,LB
48141.8,1.328,0.013650397,100,TSB
48141.8,1.128333333,0.009527737,100,LB
48141.8,1.335333333,0.011623731,9.090909091,TSB
48141.8,0.847,0.045796652,9.090909091,LB
48141.8,1.358666667,0.01299145,0.826446281,TSB
48141.8,0.710333333,0.010477489,0.826446281,LB
48141.8,1.371,0.018009257,0.07513148,TSB
48141.8,0.65,0.0090185,0.07513148,LB
48141.8,1.380333333,0.030845493,0.006830135,TSB
48141.8,0.598666667,0.005696002,0.006830135,LB
49924.9,0.108666667,0.003929942,0,TSB
49924.9,0.073,0.002081666,0,LB
49924.9,1.336333333,0.012771496,100,TSB
49924.9,1.147333333,0.008685876,100,LB
49924.9,1.352333333,0.01105039,9.090909091,TSB
49924.9,0.863,0.043844422,9.090909091,LB
49924.9,1.363666667,0.009955456,0.826446281,TSB
49924.9,0.729,0.010969655,0.826446281,LB
49924.9,1.374,0.013650397,0.07513148,TSB
49924.9,0.677333333,0.007333333,0.07513148,LB
49924.9,1.387666667,0.029717185,0.006830135,TSB
49924.9,0.625666667,0.014051493,0.006830135,LB
51708.1,0.097333333,0.002905933,0,TSB
51708.1,0.066666667,0.001855921,0,LB
51708.1,1.327666667,0.010744508,100,TSB
51708.1,1.14,0.010016653,100,LB
51708.1,1.337333333,0.007218803,9.090909091,TSB
51708.1,0.871,0.044226689,9.090909091,LB
51708.1,1.358333333,0.010268615,0.826446281,TSB
51708.1,0.739333333,0.010413666,0.826446281,LB
51708.1,1.367,0.01761628,0.07513148,TSB
51708.1,0.682666667,0.008685876,0.07513148,LB
51708.1,1.376333333,0.031338652,0.006830135,TSB
51708.1,0.645,0.01266228,0.006830135,LB
53491.2,0.103666667,0.002848001,0,TSB
53491.2,0.071333333,0.003929942,0,LB
53491.2,1.326333333,0.011289129,100,TSB
53491.2,1.143,0.009712535,100,LB
53491.2,1.346666667,0.010974718,9.090909091,TSB
53491.2,0.882333333,0.045739601,9.090909091,LB
53491.2,1.363333333,0.012732286,0.826446281,TSB
53491.2,0.751333333,0.009261629,0.826446281,LB
53491.2,1.371333333,0.016914819,0.07513148,TSB
53491.2,0.704666667,0.008743251,0.07513148,LB
53491.2,1.379,0.031085902,0.006830135,TSB
53491.2,0.66,0.011718931,0.006830135,LB
55274.3,0.104333333,0.003179797,0,TSB
55274.3,0.072333333,0.003282953,0,LB
55274.3,1.322333333,0.01313181,100,TSB
55274.3,1.148666667,0.008950481,100,LB
55274.3,1.351666667,0.014449145,9.090909091,TSB
55274.3,0.894333333,0.044856562,9.090909091,LB
55274.3,1.368,0.009814955,0.826446281,TSB
55274.3,0.761333333,0.008950481,0.826446281,LB
55274.3,1.37,0.017785762,0.07513148,TSB
55274.3,0.723333333,0.009871395,0.07513148,LB
55274.3,1.381,0.029022979,0.006830135,TSB
55274.3,0.675333333,0.010203485,0.006830135,LB
57057.4,0.101,0.002,0,TSB
57057.4,0.071666667,0.003282953,0,LB
57057.4,1.32,0.010785793,100,TSB
57057.4,1.147,0.008504901,100,LB
57057.4,1.347333333,0.012706079,9.090909091,TSB
57057.4,0.901,0.048911485,9.090909091,LB
57057.4,1.364,0.013576941,0.826446281,TSB
57057.4,0.764,0.009712535,0.826446281,LB
57057.4,1.371333333,0.016895101,0.07513148,TSB
57057.4,0.734333333,0.00788106,0.07513148,LB
57057.4,1.377333333,0.031338652,0.006830135,TSB
57057.4,0.678,0.013228757,0.006830135,LB
58840.6,0.101666667,0.004096069,0,TSB
58840.6,0.068,0.002645751,0,LB
58840.6,1.314666667,0.011289129,100,TSB
58840.6,1.147666667,0.008333333,100,LB
58840.6,1.342,0.015132746,9.090909091,TSB
58840.6,0.907333333,0.050824316,9.090909091,LB
58840.6,1.359,0.015534907,0.826446281,TSB
58840.6,0.767666667,0.013445363,0.826446281,LB
58840.6,1.369,0.016703293,0.07513148,TSB
58840.6,0.745,0.009073772,0.07513148,LB
58840.6,1.377333333,0.028386225,0.006830135,TSB
58840.6,0.690666667,0.011289129,0.006830135,LB
60623.7,0.104333333,0.00120185,0,TSB
60623.7,0.072333333,0.003527668,0,LB
60623.7,1.315666667,0.012978615,100,TSB
60623.7,1.151666667,0.010397649,100,LB
60623.7,1.345333333,0.013860415,9.090909091,TSB
60623.7,0.924333333,0.047343896,9.090909091,LB
60623.7,1.369,0.010969655,0.826446281,TSB
60623.7,0.781666667,0.007838651,0.826446281,LB
60623.7,1.371666667,0.016973836,0.07513148,TSB
60623.7,0.760666667,0.00779601,0.07513148,LB
60623.7,1.380333333,0.031338652,0.006830135,TSB
60623.7,0.707,0.011357817,0.006830135,LB
62406.9,0.099,0.001527525,0,TSB
62406.9,0.064,0.004163332,0,LB
62406.9,1.309666667,0.012810586,100,TSB
62406.9,1.146666667,0.010477489,100,LB
62406.9,1.339333333,0.011864981,9.090909091,TSB
62406.9,0.933666667,0.046333333,9.090909091,LB
62406.9,1.366333333,0.011623731,0.826446281,TSB
62406.9,0.781,0.005507571,0.826446281,LB
62406.9,1.367666667,0.015059143,0.07513148,TSB
62406.9,0.768333333,0.007688375,0.07513148,LB
62406.9,1.374333333,0.030867099,0.006830135,TSB
62406.9,0.709,0.010214369,0.006830135,LB
